mean,std,min,max,range,slope,last_3_avg,first_3_avg,volatility,next_value,confidence
50.173048207907584,7.79045330353642,39.58202516659618,61.27548872754211,21.69346356094593,2.5159119559528293,58.67793941674609,39.95273787383474,4.140474803563262,59.7773491169377,84.41909339292715
50.023234232725144,2.8891479190921476,44.80112128305067,53.998019476364945,9.196898193314276,-0.43303108275648866,48.795132252943326,52.762465442526256,4.378268003561764,52.1762321386568,94.22170416181571
41.97234335975549,3.239967807052876,37.00606845735459,47.3419401231981,10.335871665843513,0.5146216410496538,43.797973228292335,39.199259582042565,4.149867960900803,41.14417014412776,93.52006438589424
42.42312425064004,4.010348314315472,32.38744192189465,46.82557582385517,14.43813390196052,0.9406595806135336,45.46019782438625,39.02165769511193,4.622413212013904,45.7472470671458,91.97930337136906
48.64911072423873,5.455313072898221,40.39009615344509,56.4687258557093,16.07862970226421,1.6692044061932492,54.7977108607648,43.23323027706453,3.0816556317539052,58.137930261902554,89.08937385420356
56.50105761805672,4.251952264568082,49.39912463581172,63.81555955908027,14.416434923268554,-1.1771288886396334,53.02957927944621,61.10510165023504,4.5626085961554095,48.22199574717208,91.49609547086384
48.19478560121782,5.717004700880165,35.6195826879253,55.61144779231537,19.991865104390065,1.7209625281234653,54.32390240794175,42.13607347212839,5.473874197250336,57.33241032043883,88.56599059823967
49.01784086449905,4.223880553792205,42.0986223364424,55.50877672342646,13.410154386984054,-0.2794000912572818,47.68953252984775,47.65217465858458,6.589013490227491,46.31810532522876,91.55223889241559
44.33029409012009,3.8136736683915524,38.433839533069765,50.28717316387978,11.853333630810013,0.7976300730665764,46.85419952734753,42.10290511601858,5.160756408900718,51.08480323694636,92.3726526632169
51.71502472635744,8.00746138781688,39.28805275663769,62.743890910058866,23.455838153421176,2.6840936668434505,61.15567195344854,41.79392463288818,3.8319164823771454,65.42798457690232,83.98507722436624
51.90785258899969,6.883442110233111,42.13091703555729,65.88884019062276,23.75792315506547,-2.17552034615653,44.1213225548313,59.43023055696494,5.031358200487907,41.10456149639211,86.23311577953378
51.77228255644341,3.1737403485160676,48.292589759352616,56.947451033602874,8.654861274250258,0.279685787820056,53.94344888615242,51.57925956963635,4.290505630070632,55.40334260467502,93.65251930296786
50.71202234356337,6.922618923958774,36.25283833164554,60.41277156157321,24.159933229927667,-2.135604015267014,43.0378711219903,57.696602568509604,5.584232758012819,43.14904410565212,86.15476215208245
47.18078118947207,8.16042339667018,36.33692754719148,62.381226153883624,26.044298606692145,-2.71626414153029,38.3068344157683,56.15474019743937,3.5765672300381413,33.62066340566119,83.67915320665963
49.737667992140146,7.976922125150825,37.881500134784176,63.29998805928918,25.418487924505,-2.53034546128282,39.616315175989,57.30871985727769,5.615891986931973,36.348008248976846,84.04615574969836
55.55893637562955,4.261733012627429,45.338688317259646,60.005196563973485,14.666508246713839,-1.1787972106092566,50.39639446568577,58.45277205726168,3.9720649745580734,50.21148627924871,91.47653397474514
46.00545562008479,5.054010048450925,36.76879972491074,52.924088847433076,16.155289122522333,1.4799386018294949,50.693315668715144,40.10062365548122,4.247999925665641,52.482532526227,89.89197990309815
50.030604429347605,5.906971998467574,42.637083441624675,60.969002004133266,18.33191856250859,-1.8711043718777027,44.03695758557117,57.4426905306928,3.8294482852946397,40.765979069746976,88.18605600306485
54.5025859300856,4.729585665032505,46.90277347059958,60.29461843703717,13.391844966437596,-1.5281362264541238,49.091305308730234,59.35507079391365,2.568026876592651,45.374637244145454,90.540828669935
52.67805395885536,7.4669900675189265,40.81777702994198,68.57217183559796,27.754394805655977,2.2737115760913467,60.501061546234155,45.86741857781744,5.572031919014223,70.8458834116893,85.06601986496214
48.142160839933645,6.501075544963454,36.51116127808585,57.79238913120986,21.281227853124008,-2.0578220083563488,40.79243438936906,53.40646526383077,4.502584342732331,34.453339269729504,86.99784891007309
57.459681125430755,1.947839487151028,54.55155827318251,60.19433293191846,5.642774658735952,-0.2334589360189029,56.00855506718989,57.702429773712254,3.0944221856718808,57.90581763260826,96.10432102569794
51.19550019481503,1.5729102664344519,48.20293750304669,53.24147762652564,5.038540123478953,-0.016734653384960396,50.85294943516044,51.04405491644608,2.432258101753616,48.18620284966173,96.85417946713109
48.275348393553905,5.199063739388312,37.94031077665012,54.84728037256153,16.906969595911406,1.5111794287410543,52.65248838815694,42.75243061844274,4.995228830380449,56.16180904837279,89.60187252122337
44.685894994327796,4.932858712541031,37.028423069358816,52.32785886691184,15.299435797553024,1.3651690840426973,48.225399502678556,40.336731462057855,4.972817328192005,52.94123988596366,90.13428257491793
52.09265512718895,7.346165319122139,41.218058082363484,62.36989236124799,21.151834278884508,-2.300920309465451,43.80038377984605,59.91267651425994,4.843840778919692,44.594044874391216,85.30766936175573
43.585046941125384,3.8530567668013207,38.191835210473734,51.27363955668741,13.081804346213673,0.052101562754394364,45.64663719598468,46.05110520214635,5.140608560299471,45.222877483895765,92.29388646639735
47.922649996374645,3.5184853009633685,39.795066698791864,50.90972540395078,11.114658705158917,0.7092389615259034,49.42480383095336,44.763200625825185,3.299788034791125,50.66534660847316,92.96302939807326
50.20271094383188,3.2483547865269373,46.12998601782335,58.16791503145162,12.037929013628272,0.32611332189228653,52.449972657884416,50.8187000326789,3.1586658676151016,58.49402835334391,93.50329042694612
48.05714625129537,2.650986878601508,42.387753998375146,52.49695633250362,10.109202334128476,-0.043497192635464275,48.545875947332426,49.74115117153531,3.886880750956014,48.89115236254537,94.69802624279698
50.46273477970012,5.337773335109446,39.942282457417576,56.12012670625614,16.17784424883856,-1.5409293298102669,43.537734887571155,54.67616785742285,4.047999411127125,38.40135312760731,89.32445332978111
49.69629814185198,3.153648951998881,45.93357228172075,55.42625113893339,9.492678857212638,-0.40114047064762165,47.903646721550224,52.312741536828234,4.791833748428674,46.96893966677638,93.69270209600224
47.25216595107885,4.940400854279676,41.25283155414007,56.937793637220935,15.684962083080862,1.380830585086518,52.52110263382631,41.5911608490643,4.308168300043396,51.51141295663458,90.11919829144065
43.61405515774639,3.349005143494954,36.98491367142174,48.003078953272414,11.018165281850678,0.5384292545462537,44.18512708954699,39.27399101884853,3.698276611310057,44.47198526350058,93.30198971301009
51.82765586482109,4.3768403530325495,44.13527877588833,60.1123543835827,15.977075607694367,0.2139143655347111,52.117442481758935,49.54164065737701,6.833406827650071,44.349193141423044,91.2463192939349
51.78902537301976,5.087482023120527,45.504508740029905,61.09034397339316,15.585835233363255,-1.4961412680125188,46.662126554632714,55.860234250346046,3.757720066856732,44.69117670799847,89.82503595375894
48.46373191922819,5.7295048495768,38.21455951240649,58.91651943151777,20.70195991911128,-1.905007219985523,41.97509055450925,55.34490248563211,2.83882077231971,36.30955229242097,88.5409903008464
